"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Orfi, Luke","2024",95,93,87,0.366,0.384
"Butterworth, Brandon","2023",489,450,422,0.365,0.359
"Haley, Maddox","2026",127,118,112,0.365,0.358
"Jefferson, DM","2023",436,385,321,0.365,0.387
"Morgan, Owen","2026",48,38,31,0.365,0.342
"Sanchez, Josean","2024",342,305,285,0.365,0.348
"Trommer, Michael","2025",345,316,254,0.365,0.417
"Willi, Marc","2025",64,54,40,0.365,0.411
"Fellows, Cole","2025",731,681,633,0.364,0.375
"Howe, Garrett","2023",328,272,240,0.364,0.359
"Kolben, Ryan","2025",227,190,136,0.364,0.419
"Neri, Kyle","2025",289,269,241,0.364,0.38
"Serruto, Peter","2021",189,163,141,0.364,0.38
"Trommer, Michael","2024",521,468,398,0.364,0.395
"Woods, Matt","2022",172,166,148,0.364,0.395
"Genth, Harry","2024",130,111,95,0.363,0.359
"Holt, Jonathan","2026",73,56,46,0.363,0.336
"Novak, Ryan","2026",182,152,128,0.363,0.355
"Poteet, Logan","2023",509,457,391,0.363,0.403
"Franco, Sam","2022",482,447,383,0.362,0.4
"Huges, Logan","2024",14,12,10,0.362,0.369
"Johnson, Davis","2024",309,258,216,0.362,0.435
"Leonard, Brayden","2026",108,93,80,0.362,0.359
"Nyisztor, Mike","2021",139,123,115,0.362,0.366
"Sabathia, Carsten","2024",27,20,18,0.362,0.274
"Shuhet, Nick","2025",413,377,325,0.362,0.401
"Crossen, Danny","2022",577,510,484,0.361,0.347
"Fernandez, Samuel","2026",130,116,93,0.361,0.401
"Jaun, William","2024",25,18,16,0.361,0.262
"Lucarelli, Michael","2025",349,309,271,0.361,0.374
"Nawrocki, Nolan","2023",493,445,401,0.361,0.361
"Noriega, Gavin","2023",759,712,654,0.361,0.374
"Quagliato, Nick","2024",327,307,269,0.361,0.388
"Rodriguez, Damaurys","2022",302,264,256,0.361,0.334
"Zarrillo, Michael","2023",522,448,368,0.361,0.411
